,tss,roc,clade,iucn,coverage,uncertain
1,0.777874888,0.950925224,IXODIDA,VU,Excellent,Perfect
45,H,4,,,,
3,-30.431,-28.944,,,,
4,-49.987,-48.007,,,,
5,-16.293,-15.034,,,,
6,-24.987,-23.994,,,,
7,-28.332,-27.712,,,,
8,-44.095,-43.523,,,,
9,-11.837,-10.442,,,,
10,-20.252,-19.285,,,,
11,-24.047,-23.268,,,,
12,-36.489,-35.763,,,,
13,-11.587,-7.518,,,,
14,-31.023,-30.139,,,,
15,-29.823,-28.513,,,,
16,-45.246,-43.759,,,,
17,-15.665,-13.167,,,,
18,-30.782,-29.913,,,,
19,-36.691,-35.71,,,,
20,-51.737,-50.318,,,,
